1668046319.391463 client started (13024): version 3.3a, socket /private/tmp/tmux-644719205/default, protocol 8
1668046319.391516 on Darwin 21.4.0 Darwin Kernel Version 21.4.0: Mon Feb 21 20:34:37 PST 2022; root:xnu-8020.101.4~2/RELEASE_X86_64
1668046319.392128 using libevent 2.1.12-stable (select); utf8proc 2.7.0; ncurses 6.3
1668046319.397149 sending message 112 to peer 0x7fb5bc831000 (12 bytes)
1668046319.397155 sending message 112 to peer 0x7fb5bc831000 (12 bytes)
1668046319.397162 sending message 112 to peer 0x7fb5bc831000 (12 bytes)
1668046319.397168 sending message 112 to peer 0x7fb5bc831000 (21 bytes)
1668046319.397174 sending message 112 to peer 0x7fb5bc831000 (12 bytes)
1668046319.397181 sending message 112 to peer 0x7fb5bc831000 (9 bytes)
1668046319.397187 sending message 112 to peer 0x7fb5bc831000 (6 bytes)
1668046319.397193 sending message 112 to peer 0x7fb5bc831000 (13 bytes)
1668046319.397200 sending message 112 to peer 0x7fb5bc831000 (10 bytes)
1668046319.397206 sending message 112 to peer 0x7fb5bc831000 (24 bytes)
1668046319.397212 sending message 112 to peer 0x7fb5bc831000 (13 bytes)
1668046319.397221 sending message 112 to peer 0x7fb5bc831000 (9 bytes)
1668046319.397228 sending message 112 to peer 0x7fb5bc831000 (70 bytes)
1668046319.397235 sending message 112 to peer 0x7fb5bc831000 (69 bytes)
1668046319.397241 sending message 112 to peer 0x7fb5bc831000 (12 bytes)
1668046319.397247 sending message 112 to peer 0x7fb5bc831000 (10 bytes)
1668046319.397254 sending message 112 to peer 0x7fb5bc831000 (10 bytes)
1668046319.397261 sending message 112 to peer 0x7fb5bc831000 (24 bytes)
1668046319.397267 sending message 112 to peer 0x7fb5bc831000 (13 bytes)
1668046319.397274 sending message 112 to peer 0x7fb5bc831000 (10 bytes)
1668046319.397281 sending message 112 to peer 0x7fb5bc831000 (10 bytes)
1668046319.397288 sending message 112 to peer 0x7fb5bc831000 (10 bytes)
1668046319.397295 sending message 112 to peer 0x7fb5bc831000 (13 bytes)
1668046319.397302 sending message 112 to peer 0x7fb5bc831000 (15 bytes)
1668046319.397309 sending message 112 to peer 0x7fb5bc831000 (5 bytes)
1668046319.397317 sending message 104 to peer 0x7fb5bc831000 (0 bytes)
1668046319.397325 sending message 110 to peer 0x7fb5bc831000 (0 bytes)
1668046319.397331 sending message 107 to peer 0x7fb5bc831000 (4 bytes)
1668046319.397338 sending message 105 to peer 0x7fb5bc831000 (82 bytes)
1668046319.397344 sending message 105 to peer 0x7fb5bc831000 (86 bytes)
1668046319.397350 sending message 105 to peer 0x7fb5bc831000 (44 bytes)
1668046319.397357 sending message 105 to peer 0x7fb5bc831000 (59 bytes)
1668046319.397363 sending message 105 to peer 0x7fb5bc831000 (19 bytes)
1668046319.397370 sending message 105 to peer 0x7fb5bc831000 (138 bytes)
1668046319.397376 sending message 105 to peer 0x7fb5bc831000 (20 bytes)
1668046319.397384 sending message 105 to peer 0x7fb5bc831000 (22 bytes)
1668046319.397391 sending message 105 to peer 0x7fb5bc831000 (64 bytes)
1668046319.397398 sending message 105 to peer 0x7fb5bc831000 (32 bytes)
1668046319.397406 sending message 105 to peer 0x7fb5bc831000 (12 bytes)
1668046319.397413 sending message 105 to peer 0x7fb5bc831000 (19 bytes)
1668046319.397432 sending message 105 to peer 0x7fb5bc831000 (56 bytes)
1668046319.397439 sending message 105 to peer 0x7fb5bc831000 (16 bytes)
1668046319.397445 sending message 105 to peer 0x7fb5bc831000 (15 bytes)
1668046319.397452 sending message 105 to peer 0x7fb5bc831000 (8 bytes)
1668046319.397458 sending message 105 to peer 0x7fb5bc831000 (12 bytes)
1668046319.397464 sending message 105 to peer 0x7fb5bc831000 (32 bytes)
1668046319.397471 sending message 105 to peer 0x7fb5bc831000 (31 bytes)
1668046319.397477 sending message 105 to peer 0x7fb5bc831000 (58 bytes)
1668046319.397484 sending message 105 to peer 0x7fb5bc831000 (32 bytes)
1668046319.397490 sending message 105 to peer 0x7fb5bc831000 (21 bytes)
